# q	I	sigma_I
1.257739999999999969e-01 -7.843994000000001051e-05 5.204283256408791421e-03
1.265199999999999936e-01 3.965414670000000418e-05 5.204316822659604130e-03
1.272660000000000180e-01 2.374403600000000016e-04 5.204484240546603142e-03
1.280130000000000157e-01 2.593232329999999876e-04 5.204502763166828951e-03
1.287589999999999846e-01 7.666885400000000806e-04 5.204932200858786856e-03
1.295059999999999822e-01 1.383797999999999994e-04 5.204400390533932969e-03
1.302520000000000067e-01 1.657027270000000158e-04 5.204423518216034009e-03
1.309990000000000043e-01 3.820674530000000191e-04 5.204606658018007780e-03
1.317450000000000010e-01 7.355759869999999902e-04 5.204905867987014850e-03
1.324909999999999977e-01 5.880115069999999715e-04 5.204780971358249908e-03
1.332380000000000231e-01 8.814369929999999170e-04 5.205029319872616148e-03
1.339839999999999920e-01 8.501064130000000798e-04 5.205002802962661011e-03
1.347309999999999897e-01 2.599992529999999805e-04 5.204503335378656351e-03
1.354769999999999863e-01 -8.236877329999999745e-05 5.204283256408791421e-03
1.362240000000000117e-01 1.099593010000000015e-03 5.205213954377471350e-03
1.369700000000000084e-01 1.943043399999999849e-04 5.204447728140713589e-03
1.377170000000000061e-01 -3.579099670000000441e-04 5.204283256408791421e-03
1.384630000000000027e-01 1.707436669999999926e-04 5.204427785143620443e-03
1.392089999999999994e-01 2.832525000000000125e-04 5.204523017868930256e-03
1.399559999999999971e-01 1.705465469999999995e-04 5.204427618290526601e-03
1.407019999999999937e-01 2.501001329999999641e-04 5.204494956339876695e-03
1.414489999999999914e-01 3.769145070000000375e-04 5.204602296432275441e-03
1.421950000000000158e-01 -2.689124330000000076e-04 5.204283256408791421e-03
1.429420000000000135e-01 -7.533905999999999286e-04 5.204283256408791421e-03
1.436880000000000102e-01 8.669772670000000753e-05 5.204356643601509153e-03
1.444339999999999791e-01 6.769504400000001410e-04 5.204856248456416791e-03
1.451810000000000045e-01 1.166283270000000033e-04 5.204381978774447019e-03
1.459270000000000012e-01 -6.746773329999999959e-06 5.204283256408791421e-03
1.466739999999999988e-01 1.256177870000000133e-04 5.204389588003817749e-03
1.474199999999999955e-01 -1.468151469999999916e-04 5.204283256408791421e-03
1.481670000000000209e-01 3.865232929999999666e-04 5.204610429552384253e-03
1.489130000000000176e-01 3.299154669999999922e-04 5.204562515070003392e-03
1.496589999999999865e-01 -1.615816270000000122e-04 5.204283256408791421e-03
1.504059999999999842e-01 5.827725929999999716e-04 5.204776537155476716e-03
1.511520000000000086e-01 3.567372729999999763e-04 5.204585217868442325e-03
1.518990000000000062e-01 2.521099069999999890e-04 5.204496657499686069e-03
1.526450000000000029e-01 1.369046269999999908e-04 5.204399141860535649e-03
1.533920000000000006e-01 1.704392670000000028e-04 5.204427527482895222e-03
1.541379999999999972e-01 -8.496510000000000412e-05 5.204283256408791421e-03
1.548839999999999939e-01 4.760875599999999145e-04 5.204686238407611396e-03
1.556309999999999916e-01 1.968659730000000218e-04 5.204449896437474479e-03
1.563769999999999882e-01 1.828809070000000188e-04 5.204438058753669931e-03
1.571240000000000137e-01 3.366057069999999602e-04 5.204568177903403509e-03
1.578700000000000103e-01 2.414451129999999719e-04 5.204487630349521540e-03
1.586170000000000080e-01 5.460331799999999531e-04 5.204745440908608439e-03
1.593630000000000047e-01 2.758598269999999915e-04 5.204516760419088117e-03
1.601090000000000013e-01 3.561767800000000136e-04 5.204584743451006433e-03
1.608559999999999990e-01 8.343603800000000273e-04 5.204989476119132978e-03
