x y
1.564958 1159.858
1.567275 1156.632
1.569592 1163.147
1.571908 1172.181
1.574225 1120.861
1.576542 1043.314
1.578859 1020.906
1.581175 1045.617
1.583492 1077.931
1.585809 1086.37
1.588125 1064.57
1.590442 1053.071
1.592759 1063.574
1.595076 1066.664
1.597392 1064.417
1.599709 1079.357
1.602026 1087.406
1.604342 1060.667
1.606659 1052.983
1.608975 1094.382
1.611292 1096.248
1.613609 1031.214
1.615925 992.9256
1.618242 1007.495
1.620559 1028.444
1.622875 1031.293
1.625192 1009.138
1.627508 971.2618
1.629825 938.8637
1.632142 953.2769
1.634458 1013.501
1.636775 1030.907
1.639091 986.5819
1.641408 952.5106
1.643724 949.6278
1.646041 957.7092
1.648357 958.1369
1.650674 939.1434
1.65299 912.8128
1.655307 895.3417
1.657623 897.5207
1.65994 916.09
1.662256 928.7153
1.664573 920.7685
1.666889 890.8973
1.669206 884.7047
1.671522 947.4571
1.673839 983.4843
1.676155 913.4581
1.678472 852.6896
1.680788 873.747
1.683105 903.6225
1.685421 903.3557
1.687737 889.4272
1.690054 872.8414
1.69237 857.872
1.694687 842.9111
1.697003 830.7438
1.699319 850.8364
1.701636 901.7575
1.703952 897.7594
1.706269 830.8098
1.708585 811.5754
1.710901 840.882
1.713218 829.1398
1.715534 795.2788
1.71785 801.184
1.720167 827.4373
1.722483 841.7474
1.724799 848.9733
1.727115 848.5244
1.729432 820.1685
1.731748 781.7043
1.734064 787.3775
1.736381 816.0845
1.738697 808.0972
1.741013 783.5985
1.743329 780.2192
1.745646 781.1399
1.747962 770.2159
1.750278 760.1905
1.752594 764.0917
1.75491 788.5325
1.757227 810.9987
1.759543 793.3433
1.761859 763.7639
1.764175 768.1925
1.766491 777.7512
1.768808 759.9679
1.771124 733.4037
1.77344 719.8244
1.775756 730.9407
1.778072 753.48
1.780388 753.3854
1.782704 736.8042
1.785021 731.4579
1.787337 739.5528
1.789653 748.4786
1.791969 728.1216
1.794285 678.4117
1.796601 667.2716
1.798917 707.3571
1.801233 734.6656
1.803549 734.1882
1.805865 729.476
1.808181 717.7593
1.810497 689.9943
1.812813 667.0328
1.815129 665.5463
1.817445 669.8269
1.819761 666.2727
1.822077 653.1729
1.824393 640.6143
1.826709 646.4082
1.829025 660.9239
1.831341 663.1357
1.833657 661.0989
1.835973 665.2234
1.838289 659.6208
1.840605 641.1627
1.842921 641.1383
1.845237 662.5156
1.847553 671.7063
1.849869 661.949
1.852185 647.2488
1.854501 637.0881
1.856817 634.8508
1.859132 627.7835
1.861448 610.6503
1.863764 606.644
1.86608 624.4731
1.868396 645.2555
1.870712 652.2646
1.873028 635.5774
1.875343 612.4067
1.877659 607.0515
1.879975 600.5765
1.882291 578.8398
1.884607 587.1717
1.886922 637.5423
1.889238 661.0659
1.891554 637.5791
1.89387 610.5552
1.896186 606.3882
1.898501 630.4568
1.900817 641.9464
1.903133 602.7955
1.905448 562.5815
1.907764 561.7029
1.91008 569.6358
1.912396 570.3393
1.914711 580.9967
1.917027 599.4749
1.919343 605.9064
1.921658 591.1397
1.923974 559.6404
1.92629 554.2827
1.928605 597.547
1.930921 617.4647
1.933237 576.6039
1.935552 527.2
1.937868 509.5168
1.940183 537.3402
1.942499 576.8861
1.944815 575.3151
1.94713 555.7374
1.949446 555.6568
1.951761 552.3152
1.954077 533.5743
1.956392 540.1057
1.958708 570.7045
